Index,latitude,longitude,brightness,scan,track,satellite,instrument,confidence,version,bright_t31,frp,daynight,hour,date,hourly_datetime,temperature,apparent_temperature,heat_index,precipitation,humidity,wind_speed,solar_radiation,cloudiness,wind_direction,Fire
1,30.8342,-110.8534,322,1.9,1.3,Aqua,MODIS,68,6.03,306.2,21.2,D,21:00:00,24/02/2016,24/02/2016 21:00,15.6,12.8,15.6,0,20,1.5,0,0,285.6,1
2,31.2519,-110.9623,313.8,1.1,1,Terra,MODIS,32,6.03,296.5,5.8,D,18:00:00,30/03/2016,30/03/2016 18:00,14.5,15.2,14.5,0,27.2,5,340.4,0.3,234.2,1
3,31.0972,-110.8965,325.5,1.4,1.2,Terra,MODIS,67,6.03,308.7,17.3,D,17:00:00,03/04/2016,03/04/2016 17:00,25.3,29,25.3,0,9.9,2.1,873.7,0,181.4,1
4,31.0988,-110.911,339.3,1.4,1.2,Terra,MODIS,86,6.03,310.5,46.8,D,17:00:00,03/04/2016,03/04/2016 17:00,25.3,29,25.3,0,9.9,2.1,873.7,0,81.6,1
5,30.7656,-110.8255,301.6,1,1,Aqua,MODIS,43,6.03,281.1,7.8,N,09:00:00,04/04/2016,04/04/2016 09:00,12.6,11.8,12.6,0,31.2,1.6,34.3,0,272.7,1
6,30.7745,-110.8238,300.4,1,1,Aqua,MODIS,27,6.03,281.1,7.2,N,09:00:00,04/04/2016,04/04/2016 09:00,12.6,11.8,12.6,0,31.2,1.6,34.3,0,352.4,1
7,30.9077,-110.693,323.4,2,1.4,Terra,MODIS,39,6.03,307.9,25.7,D,17:00:00,21/04/2016,21/04/2016 17:00,29.6,33.6,29.6,0,5.8,4.8,906.5,0,334.1,1
8,30.9098,-110.715,324.3,2.1,1.4,Terra,MODIS,50,6.03,306.6,30.2,D,17:00:00,21/04/2016,21/04/2016 17:00,29.6,33.6,29.6,0,5.8,4.8,906.5,0,316.1,1
9,31.3099,-111.0984,337.7,1,1,Aqua,MODIS,77,6.03,318.2,21.4,D,20:00:00,11/05/2016,11/05/2016 20:00,28.2,26.5,28.2,0,9.8,3.2,307.2,0,158,1
10,30.8771,-110.679,333.2,1.7,1.3,Aqua,MODIS,52,6.03,316,25.1,D,20:00:00,07/06/2016,07/06/2016 20:00,33,33.1,33,0,15.7,5.5,343.6,0,106.9,1
11,30.8931,-110.7062,335.4,1.7,1.3,Aqua,MODIS,67,6.03,316.4,38.1,D,20:00:00,07/06/2016,07/06/2016 20:00,33,33.1,33,0,15.7,5.5,343.6,0,198.3,1
12,30.8965,-110.7021,334.4,1.7,1.3,Aqua,MODIS,18,6.03,316.8,30.9,D,20:00:00,07/06/2016,07/06/2016 20:00,33,33.1,33,0,15.7,5.5,343.6,0,126.4,1
13,31.2518,-110.9614,326.5,1,1,Terra,MODIS,24,6.03,306,7.4,D,18:00:00,11/06/2016,11/06/2016 18:00,30.6,33.4,30.6,0,21.3,6,618.1,0,244.9,1
14,31.2353,-110.9477,336.5,1.6,1.2,Terra,MODIS,76,6.03,316.4,37.5,D,18:00:00,16/06/2016,16/06/2016 18:00,33.6,37.2,33.6,0,6.1,4.3,789.1,0,61.8,1
15,31.253,-110.9672,331.9,1.2,1.1,Aqua,MODIS,60,6.03,310.6,10.2,D,20:00:00,23/07/2016,23/07/2016 20:00,31.4,31.8,31.4,0,33.1,4.7,237.2,0,181.2,1
16,31.257,-110.9636,328.5,1,1,Terra,MODIS,43,6.03,309.4,5.8,D,18:00:00,29/07/2016,29/07/2016 18:00,34,37.9,34,0,31,3.8,560.2,0,55.4,1
17,31.2484,-110.9628,325.4,1.1,1,Terra,MODIS,50,6.03,304.9,12.6,D,18:00:00,05/08/2016,05/08/2016 18:00,30.3,34.3,30.3,0.05,38,2.4,552.7,0,172.2,1
18,31.2577,-110.9608,328,1.1,1,Terra,MODIS,70,6.03,304.9,16.2,D,18:00:00,05/08/2016,05/08/2016 18:00,30.3,34.3,30.3,0.05,38,2.4,552.7,0,20.6,1
19,31.2542,-110.97,328.6,1.2,1.1,Aqua,MODIS,33,6.03,308.1,10,D,20:00:00,08/08/2016,08/08/2016 20:00,31.3,31.2,31.3,0,30.7,1.4,209,0,36.3,1
20,31.2562,-110.962,323.3,1,1,Terra,MODIS,42,6.03,306.1,7.8,D,18:00:00,14/08/2016,14/08/2016 18:00,32.4,36.5,32.4,0,23.3,4,683.2,0,29,1
21,31.2556,-110.9629,322.5,1.3,1.1,Terra,MODIS,34,6.03,306.3,9,D,18:00:00,28/08/2016,28/08/2016 18:00,30.7,33.9,30.7,0,18.5,2.5,672.1,0,231.8,1
22,31.2585,-110.9652,318,1.1,1,Terra,MODIS,29,6.03,304.5,5.4,D,18:00:00,22/09/2016,22/09/2016 18:00,28,30.3,28,0,25.7,5.1,567.5,0,80.1,1
